f_id,id,name,funded_at,amount,source
f:173,502,Shasta Ventures III,2011-09-21,265000000.0,http://techcrunch.com/2011/09/21/shasta-ventures-closes-new-265-million-iii-fund/
f:6337,507,Fund II,2011-07-19,0.0,http://www.finsmes.com/2011/07/rock-hill-capital-group-completes-initial-closing-fund-ii.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:6927,508,Private Equity Fund VIII,2011-07-21,4500000000.0,http://www.finsmes.com/2011/07/berkshire-closes-eighth-private-equity-fund-4-5bn.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
f:2263,511,Growth Equity Fund,2011-07-21,400000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110721e77l0002t&r=Rss&s=DJFVW
f:174,516,Emergence Capital Partners III,2011-07-26,200000000.0,http://venturebeat.com/2011/07/26/emergence-200-million-fund/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
f:1170,517,Fund V,2009-03-23,26500000.0,http://www.industryventures.com/Industry_Ventures_Closes_265_Million_Fund_V.html
f:1330,518,Fund II,2011-07-28,300000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110728e77t0018i&r=Rss&s=DJFVW
f:5928,519,Fund I,2011-08-01,30000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020110801e782001e1&r=Rss&s=DJFVW
f:2534,521,Tencent,2010-04-10,300000000.0,http://paidcontent.org/article/419-tencent-invests-300-million-in-digital-sky-technologies/
f:2534,522,Naspers,2011-08-02,388000000.0,http://www.dailymarkets.com/stock/2010/07/13/naspers-to-buy-287-stake-in-digital-sky-technologies-update/
f:269,523,Fund V,2011-08-03,230000000.0,http://www.xconomy.com/new-york/2012/11/02/rre-ventures-closes-230-million-fund/
f:5957,524,Fund 1,2009-01-01,10000000.0,http://en.wikipedia.org/wiki/Joshua_Kushner
f:2304,527,Fund,2011-08-09,170000000.0,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=29&aid=DJFVLS0020110810e78a00002&r=Rss&s=DJFVLS
f:367,529,Ultrabook Fund,2011-08-10,300000000.0,http://techcrunch.com/2011/08/10/intel-capital-launches-300m-ultrabook-fund-to-invest-invest-in-lightweight-personal-computing-technologies/
f:2271,530,Waterland Private Equity Fund V,2011-08-12,1100000000.0,http://www.finsmes.com/2011/08/waterland-private-equity-investments-closes-fund-e1-1bn.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29
