c_id,f_id,date,round,amount
c:6104,f:691,2006-03-30,series-a,12550000
c:6104,f:367,2006-03-30,series-a,12550000
c:6104,f:1094,2006-03-30,series-a,12550000
c:3860,f:7,2006-04-26,series-a,5000000
c:3860,f:367,2006-04-26,series-a,5000000
c:3860,f:880,2008-05-01,venture,0
c:174,f:319,2008-06-02,series-a,1300000
c:6117,f:1161,2000-02-14,series-a,2000000
c:6122,f:102,2008-07-08,series-a,3000000
c:6158,f:41,2007-07-01,series-a,3000000
c:84,f:29,2005-01-01,angel,500000
c:84,f:144,2005-01-01,angel,500000
c:567,f:144,2007-10-15,angel,0
c:567,f:9985,2007-10-15,angel,0
c:2662,f:571,2008-06-04,venture,35000000
c:2662,f:4,2008-06-04,venture,35000000
c:2662,f:484,2008-06-04,venture,35000000
c:2662,f:1154,2008-06-04,venture,35000000
c:6357,f:367,2004-10-12,venture,2000000
c:6357,f:678,2004-10-12,venture,2000000
c:6357,f:1179,2004-10-12,venture,2000000
c:131,f:443,2008-06-09,series-c+,35000000
c:5378,f:318,2008-06-01,series-a,16000000
c:5378,f:776,2008-06-01,series-a,16000000
c:5378,f:472,2008-06-01,series-a,16000000
c:1364,f:339,2008-05-30,private-equity,9900000
c:6524,f:367,2008-06-03,series-c+,13000000
c:6524,f:1200,2008-06-03,series-c+,13000000
c:6524,f:128,2008-06-03,series-c+,13000000
c:6525,f:367,2008-06-03,angel,1300000
c:6752,f:249,2008-06-10,series-b,20000000
c:6752,f:1261,2008-06-10,series-b,20000000
c:6752,f:618,2008-06-10,series-b,20000000
c:5098,f:26,2008-06-02,series-a,0
c:5098,f:608,2008-06-02,series-a,0
c:5098,f:1700,2008-06-02,series-a,0
c:176,f:636,2008-06-17,series-c+,53000000
c:176,f:17,2008-06-17,series-c+,53000000
c:176,f:1,2008-06-17,series-c+,53000000
c:176,f:42,2008-06-17,series-c+,53000000
c:6117,f:944,2001-02-26,series-c+,20000000
c:6117,f:123,2001-02-26,series-c+,20000000
c:6117,f:1161,2001-02-26,series-c+,20000000
c:6117,f:1497,2001-02-26,series-c+,20000000
c:6117,f:123,2000-06-07,series-b,20000000
c:6117,f:1161,2000-06-07,series-b,20000000
c:6340,f:283,2008-06-01,series-b,8000000
c:235,f:12,2008-06-18,series-c+,7100000
c:235,f:137,2008-06-18,series-c+,7100000
c:235,f:268,2008-06-18,series-c+,7100000
c:975,f:737,2008-01-14,series-a,1300000
c:975,f:581,2008-01-14,series-a,1300000
c:975,f:511,2008-01-14,series-a,1300000
c:6922,f:316,2008-02-26,series-a,15000000
c:6922,f:230,2008-02-26,series-a,15000000
c:6922,f:3439,2008-02-26,series-a,15000000
c:200,f:2,2008-06-20,series-b,6000000
c:200,f:195,2008-06-20,series-b,6000000
c:1401,f:568,2008-11-11,series-b,5000000
c:1401,f:541,2008-11-11,series-b,5000000
c:1401,f:1554,2008-11-11,series-b,5000000
