invested_id,investor_id,date,round,amount
c:134145,p:1709,2012-10-01,series-a,2000000
c:134145,p:23976,2012-10-01,series-a,2000000
c:134145,p:10429,2012-10-01,series-a,2000000
c:61409,p:243507,2012-11-01,series-a,1500000
c:157894,p:113430,2013-04-09,angel,1000000
c:146269,p:1641,2013-04-30,series-a,18000000
c:203972,p:121392,2012-11-15,angel,1300000
c:49746,p:186735,2013-04-30,private-equity,10250000
c:49746,p:186736,2013-04-30,private-equity,10250000
c:49746,p:186737,2013-04-30,private-equity,10250000
c:49746,p:186738,2013-04-30,private-equity,10250000
c:65747,p:10144,2013-05-01,series-a,4800000
c:84321,p:26,2013-05-01,series-c+,17000000
c:199238,p:186637,2013-05-02,angel,400000
c:199238,p:184153,2013-05-02,angel,400000
c:85155,p:726,2013-05-01,series-a,3000000
c:85155,p:19495,2013-05-01,series-a,3000000
c:85155,p:31880,2013-05-01,series-a,3000000
c:85155,p:70365,2013-05-01,series-a,3000000
c:85155,p:55884,2013-05-01,series-a,3000000
c:85155,p:21048,2013-05-01,series-a,3000000
c:85155,p:3008,2013-05-01,series-a,3000000
c:85155,p:203,2013-05-01,series-a,3000000
c:186432,p:5149,2013-04-29,angel,1000000
c:206553,p:755,2013-05-02,private-equity,0
c:58828,p:187782,2013-05-03,series-a,1500000
c:58828,p:3914,2013-05-03,series-a,1500000
c:58828,p:2972,2013-05-03,series-a,1500000
c:206740,p:7948,2013-05-02,series-a,7500000
c:206740,p:36057,2013-05-02,series-a,7500000
c:206740,p:113711,2013-05-02,series-a,7500000
c:153705,p:16171,2012-07-01,angel,0
c:153705,p:35971,2012-07-01,angel,0
c:153705,p:67285,2012-07-01,angel,0
c:153705,p:67286,2012-07-01,angel,0
c:195543,p:3464,2013-04-30,series-a,1900000
c:195543,p:5202,2013-04-30,series-a,1900000
c:20177,p:38736,2013-05-06,series-c+,16500000
c:184551,p:188537,2013-05-06,venture,1350000
c:184551,p:188538,2013-05-06,venture,1350000
c:184551,p:188539,2013-05-06,venture,1350000
c:184551,p:188540,2013-05-06,venture,1350000
c:184551,p:188541,2013-05-06,venture,1350000
c:184551,p:188542,2013-05-06,venture,1350000
c:199206,p:188591,2012-11-01,angel,750000
c:199206,p:188592,2012-11-01,angel,750000
c:199206,p:188593,2012-11-01,angel,750000
c:199206,p:188594,2012-11-01,angel,750000
c:199206,p:188595,2012-11-01,angel,750000
c:207904,p:29160,2013-05-08,series-a,1500000
c:207904,p:14241,2013-05-08,series-a,1500000
c:207904,p:188643,2013-05-08,series-a,1500000
c:207904,p:795,2013-05-08,series-a,1500000
c:207904,p:26915,2013-05-08,series-a,1500000
c:207904,p:2604,2013-05-08,series-a,1500000
c:207904,p:7705,2013-05-08,series-a,1500000
c:207904,p:12401,2013-05-08,series-a,1500000
c:207904,p:170835,2013-05-08,series-a,1500000
c:207904,p:58186,2013-05-08,series-a,1500000
c:207904,p:2051,2013-05-08,series-a,1500000
c:207905,p:25919,2013-05-08,series-a,3000000
c:207905,p:64969,2013-05-08,series-a,3000000
c:203987,p:188733,2013-05-06,angel,0
c:203987,p:188734,2013-05-06,angel,0
c:203987,p:10443,2013-05-06,angel,0
c:182735,p:14870,2012-01-01,angel,900000
c:202214,p:188961,2013-05-09,angel,1400000
c:202214,p:39963,2013-05-09,angel,1400000
c:202214,p:46394,2013-05-09,angel,1400000
c:86219,p:189033,2013-05-08,series-a,5700000
c:178974,p:189057,2013-05-09,series-a,3000000
c:178974,p:189058,2013-05-09,series-a,3000000
c:178974,p:37650,2013-05-09,series-a,3000000
c:170804,p:44969,2013-05-09,venture,3200000
c:209076,p:189229,2012-04-10,angel,822000
c:209076,p:189230,2012-04-10,angel,822000
c:209076,p:189231,2012-04-10,angel,822000
c:209076,p:189232,2012-04-10,angel,822000
c:209076,p:189233,2012-04-10,angel,822000
c:162838,p:189238,2013-05-09,angel,700000
c:162838,p:171048,2013-05-09,angel,700000
c:162838,p:46849,2013-05-09,angel,700000
c:209133,p:19934,2013-05-11,venture,1800000
c:209133,p:46587,2013-05-11,venture,1800000
c:64300,p:41317,2013-05-13,series-a,3500000
c:64300,p:790,2013-05-13,series-a,3500000
c:210273,p:29709,2013-05-13,series-a,3369900
c:210457,p:74802,2013-05-01,angel,1000000
c:210457,p:189912,2013-05-01,angel,1000000
c:210457,p:189913,2013-05-01,angel,1000000
c:210483,p:189943,2013-05-14,angel,0
c:210483,p:189944,2013-05-14,angel,0
c:43818,p:72311,2013-05-15,venture,6500000
c:43818,p:150229,2013-05-15,venture,6500000
c:210495,p:22864,2013-05-14,angel,150000
c:210495,p:175808,2013-05-14,angel,150000
c:210534,p:190070,2013-05-14,other,113000000
c:157661,p:5996,2013-02-01,angel,500000
c:157661,p:10908,2013-02-01,angel,500000
c:157661,p:109055,2013-02-01,angel,500000
c:165176,p:190228,2013-05-15,series-a,2800000
c:165176,p:55638,2013-05-15,series-a,2800000
c:166493,p:92371,2013-05-15,angel,1100000
c:166493,p:3183,2013-05-15,angel,1100000
c:166493,p:23250,2013-05-15,angel,1100000
c:166493,p:122,2013-05-15,angel,1100000
c:166493,p:58700,2013-05-15,angel,1100000
c:166493,p:9161,2013-05-15,angel,1100000
c:166493,p:75742,2013-05-15,angel,1100000
c:166493,p:175126,2013-05-15,angel,1100000
c:166493,p:1130,2013-05-15,angel,1100000
c:188560,p:4943,2013-05-15,series-b,20000000
c:188560,p:80685,2013-05-15,series-b,20000000
c:188560,p:174558,2013-05-15,series-b,20000000
c:168511,p:6297,2013-05-16,series-a,11000000
c:168511,p:32097,2013-05-16,series-a,11000000
c:168511,p:69248,2013-05-16,series-a,11000000
c:168511,p:178998,2013-05-16,series-a,11000000
c:160734,p:182746,2013-05-16,series-a,1900000
c:160734,p:12651,2013-05-16,series-a,1900000
c:160734,p:120918,2013-05-16,series-a,1900000
c:193718,p:163965,2013-05-16,series-a,0
c:193718,p:46,2013-05-16,series-a,0
c:193718,p:570,2013-05-16,series-a,0
c:193718,p:1146,2013-05-16,series-a,0
c:193718,p:65464,2013-05-16,series-a,0
c:193718,p:5079,2013-05-16,series-a,0
c:193718,p:45286,2013-05-16,series-a,0
c:71902,p:100628,2013-05-16,angel,650000
c:71902,p:3482,2013-05-16,angel,650000
c:74364,p:190663,2013-05-17,venture,1000000
c:182249,p:190948,2013-05-18,series-a,1500000
c:186193,p:34217,2013-03-19,series-a,3000000
c:186193,p:2987,2013-03-19,series-a,3000000
c:186193,p:25366,2013-03-19,series-a,3000000
c:186193,p:10722,2013-03-19,series-a,3000000
c:186193,p:60374,2013-03-19,series-a,3000000
c:186193,p:20868,2013-03-19,series-a,3000000
c:67568,p:11952,2011-11-01,angel,0
c:72407,p:21670,2013-05-20,angel,1000000
c:72407,p:21537,2013-05-20,angel,1000000
c:213278,p:46394,2013-05-20,angel,700000
c:213278,p:2701,2013-05-20,angel,700000
c:35870,p:570,2013-05-21,series-b,12000000
c:35870,p:381,2013-05-21,series-b,12000000
c:35870,p:135,2013-05-21,series-b,12000000
c:187202,p:46394,2013-05-21,angel,1300000
c:3101,p:75,2013-05-21,series-a,15000000
c:213934,p:4315,2013-05-21,series-a,2000000
c:213934,p:32,2013-05-21,series-a,2000000
c:213934,p:68330,2013-05-21,series-a,2000000
c:213934,p:42735,2013-05-21,series-a,2000000
c:203793,p:193121,2013-05-21,series-a,4200000
c:203793,p:193122,2013-05-21,series-a,4200000
c:203793,p:193123,2013-05-21,series-a,4200000
c:203793,p:193124,2013-05-21,series-a,4200000
c:203793,p:193125,2013-05-21,series-a,4200000
c:167243,p:147683,2013-05-21,angel,1075000
c:167243,p:41942,2013-05-21,angel,1075000
