id,name,normalized_name,founded_at
f:10614,Wermuth Asset Management,wermuth asset management,1999-01-01
f:10615,Institute of Education Sciences,institute of education sciences,
f:10620,Forex-Shop,forex shop,2008-02-01
f:10621,Chasm Capital,chasm,2011-01-01
f:10622,Northzone Ventures,northzone ventures,
f:10623,http://www.totalrecipes.org,http www totalrecipes,
f:10624,INVENT Ventures,invent ventures,2010-01-01
f:10625,Heliant Ventures,heliant ventures,2012-05-07
f:10627,Episode 1,episode 1,2013-01-01
f:10628,SABIC Ventures,sabic ventures,
f:10629,Rising Tide Fund,rising tide,
f:1063,Infocomm Investments,infocomm investments,1996-01-01
f:10630,San Diego Venture Group,san diego venture group,1986-01-01
f:10632,MW Ventures,mw ventures,
f:10633,Microwave Ventures,microwave ventures,2012-06-13
f:10634,Life.SREDA,life sreda,2012-08-01
f:10635,Angel HQ,angel hq,
f:10636,Grow Wellington,grow wellington,2011-10-10
f:10637,Rho Ventures,rho ventures,1981-01-01
f:10638,Morado Ventures,morado ventures,
f:10639,C5 Capital,c5,2011-01-01
f:10640,CAS Group Ventures,cas group ventures,
f:10642,Gera Venture,gera venture,2010-01-01
f:10643,AMOREPACIFIC Ventures,amorepacific ventures,1945-01-01
f:10644,ICG Ventures,icg ventures,
f:10646,Independence Equity,independence equity,
f:10647,HealthCare Royalty Partners,healthcare royalty,2007-01-01
f:10648,SunBridge Global Ventures,sunbridge global ventures,2011-01-05
f:10649,Accelerate Ventures,accelerate ventures,1995-01-01
f:1065,Attractor Investment Management,attractor investment management,
f:10653,Tennessee Community Ventures,tennessee community ventures,
f:10654,Two Sigma Ventures,two sigma ventures,2001-01-01
f:10655,Vandaele Capital,vandaele,2011-01-01
f:10657,Rockstart,rockstart,2012-01-01
f:10658,Blue Capital Management LLC,bluemanagement,1997-01-01
f:1066,Duquesne,duquesne,
f:10660,Forrest Binkley & Brown,forrest binkley brown,
f:10661,Edgewater Private Equity Fund,edgewater private equity,
f:10662,Laconia Ventures,laconia ventures,2011-01-01
f:10663,Crown Venture Fund,crown venture,
f:10664,eCoast Angel Network,ecoast angel network,2000-01-01
f:10666,CHV Capital,chv,
f:10668,Twilio Fund Europe 2013,twilioeurope 2013,
f:10669,Nielsen Innovate,nielsen innovate,2013-02-01
f:1067,Franklin Templeton Investments,franklin templeton investments,1947-01-01
f:10670,https://twitter.com/aliciakeys,https twitter com aliciakeys,
f:10674,Dartmouth Street Ventures,dartmouth street ventures,
f:10677,Vendermause skin care,vendermause skin care,
f:10678,Second Alpha Partners,second alpha,
f:10679,Altegris,altegris,
f:1068,StarVest Partners,starvest,1999-01-01
f:10680,RocMyTee,rocmytee,
f:10681,Essex Soccer,essex soccer,
f:10682,MFLATECH,mflatech,
f:10683,Iona Capital Advisors,ionaadvisors,
f:10684,Innobridge,innobridge,
f:10685,Airtek Capital Group,airtekgroup,2003-01-01
f:10686,W8 Ventures,w8 ventures,
f:10687,Echelon Ventures,echelon ventures,2000-01-01
f:10688,River Forest Capital Partners,river forestpartners,
f:10689,Raiffaisen,raiffaisen,
