invested_id,investor_id,date,round,amount
c:140165,c:2520,2011-10-27,venture,1200000
c:15013,c:7563,2011-11-01,series-c+,15000000
c:15013,c:20,2011-11-01,series-c+,15000000
c:140731,c:17218,2011-11-02,venture,0
c:69279,c:66850,2011-11-03,angel,600000
c:24342,c:1972,2011-11-07,series-c+,15100000
c:24342,c:4843,2011-11-07,series-c+,15100000
c:24834,c:10485,2011-11-07,series-c+,20000000
c:69931,c:2520,2011-11-08,angel,1200000
c:15829,c:28,2011-11-10,series-c+,21000000
c:76204,c:1230,2011-11-10,series-b,26000000
c:28287,c:28285,2011-11-18,series-b,3250000
c:38752,c:37093,2011-11-17,series-c+,78000000
c:75626,c:34590,2011-11-17,series-a,7000000
c:80810,c:2520,2011-11-18,series-a,1500000
c:26167,c:245656,2011-11-28,series-a,1000000
c:26167,c:1567,2011-11-28,series-a,1000000
c:28403,c:73822,2011-11-29,series-a,3000000
c:71372,c:77602,2011-12-01,series-a,1700000
c:8583,c:317,2011-11-18,series-c+,176000000
c:12608,c:144401,2011-11-30,series-c+,9000000
c:12608,c:144404,2011-11-30,series-c+,9000000
c:86960,c:17896,2011-12-15,venture,2100000
c:85155,c:2520,2011-12-02,series-a,1500000
c:62424,c:34057,2011-12-19,series-b,10000000
c:23976,c:144922,2011-12-20,venture,130000000
c:58420,c:2520,2011-12-20,angel,1000000
c:20009,c:3102,2011-12-20,series-a,6500000
c:874,c:5891,2011-12-21,venture,40000000
c:86440,c:2520,2012-01-05,venture,2600000
c:146187,c:1972,2012-01-05,angel,1400000
c:146187,c:2520,2012-01-05,angel,1400000
c:45412,c:59279,2012-01-11,series-a,4100000
c:147034,c:24097,2013-05-29,series-a,3000000
c:29051,c:362,2012-01-17,series-b,21600000
c:17768,c:26555,2012-01-17,series-c+,9300000
c:147200,c:66057,2012-01-18,series-a,10000000
c:1773,c:35739,2012-01-23,series-c+,85000000
c:70855,c:230909,2012-01-23,series-a,1750000
c:70855,c:230938,2012-01-23,series-a,1750000
c:70855,c:230939,2012-01-23,series-a,1750000
c:70855,c:230940,2012-01-23,series-a,1750000
c:70855,c:230941,2012-01-23,series-a,1750000
c:70855,c:230942,2012-01-23,series-a,1750000
c:148191,c:31875,2012-01-30,series-a,10000000
c:1163,c:17066,2012-01-31,series-c+,40000000
c:64465,c:49997,2012-02-02,series-b,5000000
c:128427,c:57774,2012-02-06,series-a,1500000
c:148846,c:2520,2012-02-07,venture,1500000
c:145938,c:362,2012-01-01,other,400000
c:148860,c:148859,2012-02-07,venture,6000000
c:24358,c:64423,2012-02-13,series-c+,19200000
c:54504,c:149626,2011-05-03,series-a,3900000
c:54504,c:149627,2011-05-03,series-a,3900000
c:87225,c:34047,2012-02-16,angel,1000000
c:147755,c:2520,2012-01-25,angel,0
c:54504,c:149627,2012-02-10,other,3000000
c:54504,c:149626,2012-02-10,other,3000000
c:81769,c:66946,2012-02-23,angel,1200000
c:81769,c:2520,2012-02-23,angel,1200000
c:67692,c:64703,2012-02-29,series-a,8000000
c:147680,c:20953,2012-02-01,angel,0
c:151453,c:71323,2011-02-01,series-a,2100000
c:151478,c:142967,2012-03-06,angel,1000000
c:53,c:3320,2012-03-14,venture,100000000
c:39652,c:202015,2012-06-12,series-b,6000000
c:39652,c:6470,2012-06-12,series-b,6000000
c:145203,c:2520,2011-12-01,angel,400000
c:64795,c:37441,2012-03-22,venture,2560000
c:153354,c:153355,2012-03-28,series-c+,12000000
c:40456,c:30094,2012-03-30,series-c+,50000000
c:40456,c:8750,2012-03-30,series-c+,50000000
c:56447,c:34590,2012-04-02,series-b,14000000
c:149294,c:142967,2012-04-05,series-a,2500000
c:154599,c:48400,2012-04-10,series-a,3120000
c:154602,c:15306,2012-04-10,series-b,0
c:139213,c:362,2012-04-11,series-a,1650000
c:3744,c:29929,2012-04-12,venture,16400000
c:42186,c:203115,2013-04-19,series-b,4125000
c:24278,c:23339,2012-04-24,series-b,20000000
c:45235,c:3657,2012-04-25,series-a,5000000
c:45235,c:1972,2012-04-25,series-a,5000000
c:45235,c:2520,2012-04-25,series-a,5000000
c:145905,c:2520,2012-04-26,series-a,2000000
c:58916,c:838,2012-04-26,series-b,10100000
c:145533,c:164199,2012-04-27,angel,900000
c:157012,c:71628,2012-05-01,series-b,26500000
c:157012,c:165990,2012-05-01,series-b,26500000
c:17894,c:323,2010-02-23,series-b,4500000
c:38342,c:77944,2012-05-02,venture,11500000
c:38342,c:27436,2012-05-02,venture,11500000
c:152923,c:20953,2012-05-02,series-a,4200000
c:17894,c:1915,2012-05-03,series-c+,8000000
c:17894,c:63480,2012-05-03,series-c+,8000000
c:17894,c:323,2012-05-03,series-c+,8000000
c:144243,c:43111,2012-05-04,series-a,1500000
c:144243,c:2520,2012-05-04,series-a,1500000
c:144243,c:46002,2012-05-04,series-a,1500000
c:21814,c:41032,2012-05-07,series-c+,47500000
c:21814,c:172289,2012-05-07,series-c+,47500000
c:25210,c:23339,2012-05-08,series-c+,16500000
c:157808,c:2520,2012-01-01,angel,0
c:73846,c:73845,2012-05-09,series-a,2600000
c:73846,c:362,2012-05-09,series-a,2600000
